Time,Amplitude
56.27733333,131.041
56.288,131.206
56.29866667,131.026
56.30933333,131.035
56.32,131.253
56.33066667,131.109
56.34133333,130.923
56.352,130.263
56.36266667,130.374
56.37333333,130.465
56.384,130.12
56.39466667,130.288
56.40533333,130.942
56.416,130.8
56.42666667,130.9
56.43733333,131.166
56.448,130.983
56.45866667,130.995
56.46933333,131.065
56.48,130.856
56.49066667,130.755
56.50133333,130.903
56.512,130.78
56.52266667,130.774
56.53333333,130.861
56.544,130.785
56.55466667,130.99
56.56533333,131.104
56.576,130.94
56.58666667,131.042
56.59733333,131.189
56.608,131.171
56.61866667,131.184
56.62933333,130.981
56.64,130.862
56.65066667,130.977
56.66133333,130.868
56.672,130.763
56.68266667,130.865
56.69333333,130.983
56.704,130.922
56.71466667,131.078
56.72533333,131.197
56.736,131.085
56.74666667,131.179
56.75733333,131.226
56.768,130.955
56.77866667,130.983
56.78933333,130.825
56.8,130.871
56.81066667,130.893
56.82133333,130.801
56.832,131.007
56.84266667,131.024
56.85333333,130.669
56.864,131.005
56.87466667,131.083
56.88533333,130.831
56.896,131.037
56.90666667,131.003
56.91733333,130.979
56.928,131.055
56.93866667,130.896
56.94933333,130.827
56.96,130.897
56.97066667,130.859
56.98133333,130.943
56.992,130.951
57.00266667,130.915
57.01333333,131.01
57.024,131.007
57.03466667,131.087
57.04533333,130.956
57.056,130.943
57.06666667,131.072
57.07733333,130.975
57.088,130.968
57.09866667,131.008
57.13066667,131.376
57.14133333,131.144
57.152,130.783
57.16266667,130.773
57.17333333,130.822
57.184,130.817
57.19466667,131.374
57.20533333,131.355
57.216,130.901
57.22666667,131.118
57.23733333,130.95
57.248,130.991
57.25866667,131.074
57.26933333,130.998
57.28,131.053
57.29066667,131.09
57.30133333,131.027
57.312,131.041
57.32266667,131.017
57.33333333,130.981
57.344,131.046
57.35466667,130.941
57.36533333,131.058
57.376,131.024
57.38666667,131.034
57.39733333,130.924
57.408,130.91
57.41866667,130.878
57.42933333,130.904
57.44,130.829
57.45066667,131.044
57.46133333,130.999
57.472,130.788
57.48266667,130.946
57.49333333,130.89
57.504,130.834
57.51466667,130.986
57.536,130.956
57.54666667,131.185
57.568,130.951
57.57866667,131.086
57.58933333,131.084
57.6,130.838
57.61066667,131.082
57.65333333,131.125
57.78133333,131.163
57.792,131.234
57.86666667,130.864
57.87733333,131.942
57.888,130.624
57.89866667,130.975
57.90933333,193.484
57.92,195.017
57.93066667,195.876
57.94133333,196.121
57.952,196.083
57.96266667,195.946
57.97333333,196.237
57.984,196.245
57.99466667,196.116
58.00533333,195.916
58.016,195.738
58.02666667,196.065
58.03733333,196.085
58.048,195.909
58.05866667,196.07
58.06933333,195.593
58.08,195.533
58.09066667,195.806
58.10133333,196.175
58.112,196.296
58.12266667,196.368
58.13333333,196.504
58.144,196.499
58.15466667,196.302
58.16533333,196.231
58.176,196.368
58.18666667,196.241
58.19733333,196.418
58.208,196.41
58.21866667,196.321
58.22933333,196.607
58.24,196.616
58.25066667,196.366
58.26133333,196.318
58.272,195.688
58.28266667,193.013
58.29333333,191.776
58.304,190.853
58.31466667,188.913
58.32533333,185.537
58.336,184.781
58.34666667,182.416
58.35733333,183.791
58.368,183.548
58.37866667,182.849
58.38933333,184.068
58.4,184.993
58.41066667,187.863
58.42133333,189.537
58.432,194.052
58.44266667,195.894
58.45333333,197.749
58.464,197.434
58.47466667,195.878
58.48533333,194.86
58.496,194.632
58.50666667,190.866
58.51733333,187.214
58.528,184.56
58.53866667,181.503
58.56,177.273
58.58133333,176.508
58.592,175.966
58.60266667,175.686
58.61333333,175.909
58.624,175.973
58.63466667,178.483
58.64533333,180.806
58.656,183.7
58.66666667,186.104
58.67733333,186.298
58.688,189.232
58.69866667,192
58.70933333,191.58
58.72,191.501
58.73066667,194.737
58.74133333,194.558
58.752,193.711
58.76266667,193.205
58.77333333,191.765
58.784,193.205
58.79466667,195.059
58.80533333,194.542
58.816,191.78
58.82666667,193.407
58.83733333,195.516
58.848,194.179
58.85866667,193.583
58.86933333,193.289
58.88,195.154
58.89066667,194.246
58.90133333,195.578
58.912,194.95
58.92266667,195.333
58.93333333,196.415
58.944,195.601
58.95466667,196.385
58.96533333,195.686
58.976,195.827
58.98666667,196.474
58.99733333,195.658
59.008,196.476
59.01866667,194.569
59.02933333,195.097
59.04,194.207
59.05066667,194.738
59.08266667,174.756
59.09333333,174.73
59.104,174.992
59.11466667,177.337
59.12533333,178.401
59.136,182.783
59.14666667,184.328
59.15733333,188.79
59.168,190.962
59.17866667,200.17
59.18933333,201.941
59.2,213.314
59.21066667,216.995
59.22133333,219.367
59.232,221.609
59.24266667,221.443
59.25333333,221.393
59.264,221.887
59.27466667,220.737
59.28533333,216.506
59.296,213.65
59.30666667,210.485
59.31733333,211.326
59.328,210.052
59.33866667,207.557
59.34933333,209.435
59.36,209.28
59.37066667,210.411
59.38133333,212.314
59.392,215.062
59.40266667,217.929
59.41333333,222.335
59.424,222.834
59.43466667,223.753
59.44533333,224.182
59.456,223.965
59.46666667,222.405
59.47733333,220.513
59.488,215.288
59.49866667,208.714
59.50933333,209.216
59.54133333,198.433
59.552,198.46
59.56266667,198.352
59.57333333,196.293
59.584,195.547
59.62666667,198.974
59.63733333,198.667
59.648,197.731
59.65866667,198.428
59.66933333,198.179
59.68,198.147
59.69066667,197.812
59.70133333,197.478
59.712,196.794
59.72266667,198.224
59.744,195.066
59.75466667,197.275
59.76533333,197.185
59.776,196.571
59.78666667,197.738
59.79733333,198.988
59.808,197.489
59.82933333,199.591
59.84,196.398
59.85066667,197.422
59.86133333,197.605
59.872,196.931
59.88266667,195.674
59.89333333,196.789
59.904,196.712
59.91466667,195.902
59.92533333,196.917
59.936,196.865
59.94666667,196.876
59.95733333,195.795
59.968,194.777
59.97866667,196.06
59.98933333,195.773
60,195.808
60.01066667,196.552
60.02133333,195.661
60.032,194.822
60.04266667,194.272
60.05333333,194.405
60.064,194.029
60.07466667,193.996
60.08533333,193.978
60.096,193.084
60.10666667,192.062
60.11733333,188.713
60.128,188.136
60.13866667,187.111
60.14933333,184.116
60.16,184.748
60.17066667,182.458
60.18133333,179.376
60.192,177.684
60.20266667,176.853
60.21333333,175.922
60.224,174.883
60.23466667,175.764
60.24533333,175.788
60.256,174.573
60.26666667,176.923
60.27733333,176.597
60.288,174.424
60.29866667,176.001
60.30933333,177.413
60.32,177.276
60.33066667,176.142
60.34133333,174.046
60.352,164.191
60.36266667,165.021
60.37333333,165.133
60.384,164.776
60.39466667,165.207
60.40533333,165.533
60.416,164.793
60.42666667,165.447
60.43733333,165.601
60.448,165.223
60.45866667,165.036
60.46933333,165.312
60.48,165.172
60.49066667,165.089
60.50133333,165.491
60.512,165.24
60.52266667,165.034
60.53333333,165.794
60.544,165.146
60.55466667,165.291
60.56533333,165.529
60.576,165.348
60.58666667,165.287
60.59733333,165.423
60.608,165.524
60.61866667,165.35
60.62933333,165.664
60.64,165.649
60.65066667,165.889
60.66133333,165.721
60.672,165.713
60.68266667,165.668
60.69333333,165.562
60.704,165.524
60.71466667,165.831
